2006,1,11,3,938,945,1109,1121,US,2029,N769UW,91,96,77,-12,-7,BOS,DCA,399,2,12,0,,0,0,0,0,0,0
2006,1,11,3,1041,1045,1220,1221,US,2031,N746UW,99,96,77,-1,-4,BOS,DCA,399,3,19,0,,0,0,0,0,0,0
2006,1,11,3,1140,1145,1311,1323,US,2033,N715UW,91,98,79,-12,-5,BOS,DCA,399,2,10,0,,0,0,0,0,0,0
2006,1,11,3,1238,1245,1405,1421,US,2035,N754UW,87,96,73,-16,-7,BOS,DCA,399,3,11,0,,0,0,0,0,0,0
2006,1,11,3,1342,1345,1513,1520,US,2037,N737UW,91,95,77,-7,-3,BOS,DCA,399,3,11,0,,0,0,0,0,0,0
2006,1,11,3,1440,1445,1615,1622,US,2039,N762UW,95,97,78,-7,-5,BOS,DCA,399,3,14,0,,0,0,0,0,0,0
2006,1,11,3,1537,1545,1714,1725,US,2041,N769UW,97,100,79,-11,-8,BOS,DCA,399,3,15,0,,0,0,0,0,0,0
2006,1,11,3,1650,1645,1823,1823,US,2043,N746UW,93,98,79,0,5,BOS,DCA,399,3,11,0,,0,0,0,0,0,0
2006,1,11,3,1805,1745,1940,1927,US,2045,N757UW,95,102,79,13,20,BOS,DCA,399,3,13,0,,0,0,0,0,0,0
2006,1,11,3,1905,1845,2104,2027,US,2047,N713UW,119,102,77,37,20,BOS,DCA,399,3,39,0,,0,14,0,17,0,6
2006,1,11,3,NA,1945,NA,2127,US,2049,0,NA,102,NA,NA,NA,BOS,DCA,399,0,0,1,C,0,0,0,0,0,0
2006,1,11,3,643,645,1004,1007,US,287,N709UW,201,202,182,-3,-2,BOS,FLL,1237,3,16,0,,0,0,0,0,0,0
2006,1,11,3,902,900,1147,1205,US,62,N807AW,345,365,314,-18,2,BOS,LAS,2381,4,27,0,,0,0,0,0,0,0
2006,1,11,3,2039,2015,2318,2320,US,63,N651AW,339,365,312,-2,24,BOS,LAS,2381,8,19,0,,0,0,0,0,0,0
2006,1,11,3,719,725,946,1031,US,67,N651AW,327,366,313,-45,-6,BOS,LAS,2381,3,11,0,,0,0,0,0,0,0
2006,1,11,3,552,600,655,708,US,2115,N769UW,63,68,44,-13,-8,BOS,LGA,185,7,12,0,,0,0,0,0,0,0
2006,1,11,3,654,700,807,809,US,2117,N746UW,73,69,49,-2,-6,BOS,LGA,185,9,15,0,,0,0,0,0,0,0
